Title,Anger,Fear,Joy,Love,Sadness,Surprise,Protagonist Roles,Time Period,Dominant Time of Day,Genres
Grabbers,0.996707916,0.001861533,0.000474933,0.000230943,0.000521405,0.000203252,Fighter,Past,Daytime,"['Horror', 'Comedy', 'Sci-Fi']"
Gran Torino,0.804570854,0.003426515,0.041203562,0.003694114,0.146247163,0.000857878,Detective/Spy,Past,Daytime,"['Crime', 'Drama']"
Grand Hotel,0.60582149,0.159601778,0.209323943,0.003123481,0.01689316,0.005236239,Realist,Past,Nighttime,"['Romance', 'Drama']"
Grand Theft Parsons,0.09933836,0.890019596,0.004176971,0.000720335,0.004495069,0.001249723,Detective/Spy,Past,Daytime,"['Comedy', 'Drama']"
Gravity,0.010374902,0.00468839,0.975934505,0.001207842,0.004011412,0.003782985,Detective/Spy,Past,Daytime,"['Thriller', 'Sci-Fi']"
Gremlins 2,0.337413698,0.014090962,0.633769274,0.003188327,0.008888409,0.002649253,Fighter,Past,Daytime,"['Horror', 'Comedy', 'Fantasy', 'Sci-Fi']"
Gremlins,0.007705681,0.928612471,0.003326599,0.001144419,0.001390648,0.057820186,Law Person/Outlaw,Past,Daytime,"['Horror', 'Comedy', 'Fantasy']"
Grosse Point Blank,0.022819551,0.005174712,0.961633623,0.002927736,0.00620048,0.001243837,Realist,Future,Daytime,"['Thriller', 'Crime', 'Comedy', 'Romance']"
Groundhog Day,0.017103324,0.035852365,0.003182717,0.000577363,0.941871941,0.00141236,Monster/Killer/Victim,Past,Daytime,"['Comedy', 'Fantasy', 'Romance']"
Guardians of the Galaxy Vol 2,0.010470124,0.590500116,0.354005486,0.003537937,0.012832522,0.028653797,Realist,Future,Daytime,"['Comedy', 'Adventure', 'Action']"
Hackers,0.058246471,0.936645448,0.001697249,0.000377597,0.001177117,0.001856074,Comedian,Past,Daytime,"['Thriller', 'Crime', 'Drama', 'Action']"
Hall Pass,0.290877789,0.674367547,0.015308317,0.006834783,0.00681944,0.005792133,Detective/Spy,Past,Daytime,"['Comedy', 'Romance']"
Halloween The Curse of Michael Myers,0.005609433,0.988311589,0.000815578,0.000290937,0.000711341,0.004261141,Monster/Killer/Victim,Past,Nighttime,"['Thriller', 'Horror']"
Halloween,0.543334782,0.263151973,0.093332291,0.00375674,0.093280099,0.003144175,Fighter,Past,Nighttime,"['Thriller', 'Horror']"
Hancock,0.095263742,0.015202378,0.005258633,0.001034089,0.882651091,0.000590032,Detective/Spy,Past,Daytime,"['Comedy', 'Fantasy', 'Action', 'Thriller', 'Drama', 'Crime']"
Hanna,0.001011932,0.994908154,0.000391811,0.00016628,0.002649369,0.000872408,Child,Past,Daytime,"['Crime', 'Action']"
Hannah and Her Sisters,0.004836974,0.004386621,0.947720647,0.03579833,0.005235954,0.002021342,Monster/Killer/Victim,Present,Daytime,"['Romance', 'Comedy', 'Drama']"
Hannibal,0.213208675,0.563935399,0.0391142,0.156266823,0.021038519,0.006436365,Realist,Past,Daytime,"['Thriller', 'Horror']"
Happy Birthday Wanda June,0.858610451,0.005838817,0.003553794,0.001342022,0.129764393,0.000890513,Child,Past,Daytime,['Comedy']
Happy Feet,0.006624128,0.062343802,0.309834808,0.02886676,0.5719046,0.020425899,Monster/Killer/Victim,Present,Daytime,"['Comedy', 'Family']"
Hard Rain,0.380268186,0.017758194,0.56051594,0.010551054,0.028950375,0.001956194,Detective/Spy,Past,Daytime,"['Thriller', 'Crime', 'Drama', 'Action']"
Hard to Kill,0.004467512,0.001430422,0.987777889,0.003524025,0.002233497,0.000566603,Fighter,Past,Nighttime,"['Romance', 'Action']"
Harold and Kumar Go to White Castle,0.003428676,0.002487486,0.005822702,0.984519005,0.00292408,0.000817991,Detective/Spy,Past,Nighttime,"['Adventure', 'Comedy']"
Heat,0.186716795,0.325238764,0.452758729,0.003329323,0.026866857,0.005089508,Monster/Killer/Victim,Past,Daytime,"['Thriller', 'Crime', 'Drama', 'Action']"
Heathers,0.294387311,0.12576668,0.275025874,0.01275711,0.289317131,0.002745892,Realist,Past,Daytime,['Comedy']
Heavenly Creatures,0.003894544,0.992489219,0.000949913,0.000226868,0.001851144,0.000588404,Law Person/Outlaw,Past,Daytime,"['Fantasy', 'Romance', 'Thriller', 'Horror', 'Drama', 'Crime']"
Heavy Metal,0.001700093,0.775145531,0.001331895,0.000974233,0.001588979,0.219259277,Realist,Past,Daytime,"['Fantasy', 'Action', 'Horror', 'Adventure', 'Sci-Fi']"
Heist,0.156251967,0.272618622,0.391155213,0.007125347,0.162247524,0.010601332,Realist,Past,Daytime,"['Thriller', 'Crime', 'Drama']"
Hellbound Hellraiser II,0.109979302,0.154461265,0.669647813,0.008786578,0.033431605,0.023693431,Child,Past,Daytime,"['Thriller', 'Horror']"
Hellboy 2 The Golden Army,0.065707333,0.889323533,0.026984747,0.002704648,0.012625349,0.00265442,Monster/Killer/Victim,Past,Nighttime,"['Adventure', 'Fantasy', 'Action']"
Hellboy,0.13858299,0.81336385,0.01631926,0.001356043,0.026718603,0.003659192,Fighter,Past,Daytime,"['Horror', 'Adventure', 'Sci-Fi', 'Action']"
Hellraiser 3 Hell on Earth,0.12453036,0.091374062,0.015412173,0.001567673,0.763302326,0.003813282,Detective/Spy,Past,Daytime,"['Horror', 'Fantasy']"
Hellraiser Deader,0.001568452,0.986997008,0.001288425,0.000292231,0.003746861,0.006106989,Realist,Present,Daytime,"['Thriller', 'Horror']"
Hellraiser Hellseeker,0.003320649,0.001647001,0.986295998,0.006055469,0.001508808,0.001171959,Realist,Past,Daytime,['Horror']
Hellraiser,0.653957844,0.312065542,0.001285131,0.001885611,0.027870197,0.002935655,Child,Future,Daytime,['Horror']
Henry Fool,0.002411909,0.137949362,0.0026236,0.009167044,0.001716269,0.846131802,Detective/Spy,Present,Daytime,"['Comedy', 'Drama']"
Henrys Crime,0.059388511,0.592809856,0.035293661,0.00234262,0.009089001,0.301076353,Detective/Spy,Past,Daytime,"['Crime', 'Drama']"
Her,0.002948191,0.002749011,0.971091092,0.017699225,0.004231993,0.001280587,Realist,Past,Daytime,"['Romance', 'Drama', 'Sci-Fi']"
